id,date,end,interval
10052717,Wed Jul 31 2013 00:00:00 GMT+0100 (BST),Tue Jan 21 2014 00:00:00 GMT+0000 (GMT),174
10052717,Wed Jul 31 2013 00:00:00 GMT+0100 (BST),Tue Jan 21 2014 00:00:00 GMT+0000 (GMT),174
10888076,Mon Aug 31 2015 00:00:00 GMT+0100 (BST),Thu Jul 02 2015 00:00:00 GMT+0100 (BST),-60
10910069,Sat May 16 2015 00:00:00 GMT+0100 (BST),Sat May 16 2015 00:00:00 GMT+0100 (BST),0
10917254,Tue Oct 06 2015 00:00:00 GMT+0100 (BST),Mon Feb 01 2016 00:00:00 GMT+0000 (GMT),118
10917254,Tue Oct 06 2015 00:00:00 GMT+0100 (BST),Mon Feb 01 2016 00:00:00 GMT+0000 (GMT),118
10219071,Thu Oct 31 2013 00:00:00 GMT+0000 (GMT),Sun Jul 15 2012 00:00:00 GMT+0100 (BST),-473
10880898,Mon Nov 30 2015 00:00:00 GMT+0000 (GMT),Tue Oct 13 2015 00:00:00 GMT+0100 (BST),-48
10742417,Fri Oct 31 2014 00:00:00 GMT+0000 (GMT),Tue Sep 09 2014 00:00:00 GMT+0100 (BST),-52
10678794,Wed Apr 30 2014 00:00:00 GMT+0100 (BST),Tue Apr 08 2014 00:00:00 GMT+0100 (BST),-22
10526397,Mon Dec 31 2012 00:00:00 GMT+0000 (GMT),Mon Apr 15 2013 00:00:00 GMT+0100 (BST),105
10886056,Mon Mar 23 2015 00:00:00 GMT+0000 (GMT),Mon Mar 23 2015 00:00:00 GMT+0000 (GMT),0
10133554,Sat Mar 24 2012 00:00:00 GMT+0000 (GMT),Sat Mar 24 2012 00:00:00 GMT+0000 (GMT),0
10884665,Thu Nov 19 2015 00:00:00 GMT+0000 (GMT),Thu Nov 19 2015 00:00:00 GMT+0000 (GMT),0
10898389,Fri Dec 05 2014 00:00:00 GMT+0000 (GMT),Sat Jan 03 2015 00:00:00 GMT+0000 (GMT),29
10891746,Thu Jan 14 2016 00:00:00 GMT+0000 (GMT),Mon Feb 10 2098 00:00:00 GMT+0000 (GMT),29978
10877402,Sun May 31 2015 00:00:00 GMT+0100 (BST),Fri May 01 2015 00:00:00 GMT+0100 (BST),-30
10871150,Sun Nov 30 2014 00:00:00 GMT+0000 (GMT),Tue Dec 16 2014 00:00:00 GMT+0000 (GMT),16
10564277,Thu Jan 24 2013 00:00:00 GMT+0000 (GMT),Mon Jul 01 2013 00:00:00 GMT+0100 (BST),158
10880387,Thu Mar 26 2015 00:00:00 GMT+0000 (GMT),Tue Apr 07 2015 00:00:00 GMT+0100 (BST),12
10581215,Sun Jun 30 2013 00:00:00 GMT+0100 (BST),Tue Jul 30 2013 00:00:00 GMT+0100 (BST),30
10757785,Sun Nov 30 2014 00:00:00 GMT+0000 (GMT),Thu Jan 01 2015 00:00:00 GMT+0000 (GMT),32
10866872,Tue Dec 02 2014 00:00:00 GMT+0000 (GMT),Wed Dec 03 2014 00:00:00 GMT+0000 (GMT),1
10862915,Sun Dec 21 2014 00:00:00 GMT+0000 (GMT),Sun Dec 21 2014 00:00:00 GMT+0000 (GMT),0
10448404,Wed Oct 31 2012 00:00:00 GMT+0000 (GMT),Wed May 01 2013 00:00:00 GMT+0100 (BST),182
