week,CPH,LOL,DWII,OXF,JATB,HGH,LZRD,DILL
1, 2,6,4,5,0,3,7,1
2, 4,7,5,6,0,2,3,1
3, 5,0,4,2,3,6,7,1
4, 6,5,4,7,1,3,2,0
5, 4,0,3,6,7,2,5,1
6, 2,4,3,7,6,1,0,5
7, 1,0,7,5,4,6,3,2
8, 6,5,7,2,3,1,4,0
9, 5,1,2,4,3,6,7,0
10,5,3,4,6,0,7,1,2
11,1,0,7,2,4,5,3,6
